MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
6.13,3.38,6.9,6.9,33,62.3,2
6.1,3.96,9.71,6.96,33,59.7,2
6.21,4.94,9.94,6.05,33,59,2
6.26,4.38,10.34,5.93,33,58.2,2
6.23,3.41,9.3,5.83,33,56.7,2
6.28,3.4,8.91,6.08,33,57.3,2
6.28,3.61,9.08,5.98,33,58.8,2
6.63,3.79,9.56,6.82,33,58.9,2
6.28,3.96,9.48,6.05,33.1,60.2,2
6.31,3.87,9.15,6.87,33.1,60.2,2
6.21,4.33,9.15,6,33.1,61,2
6.21,3.4,9.23,6.08,33.1,60.5,2
6.15,2.88,8.8,6.93,33.1,59.9,2
6.1,3.5,8.27,6.9,33.2,60.5,2
6.08,3.74,9.19,6.9,33.2,61,2
6.1,3.36,9.08,7.04,33.2,61.1,2
6.1,3.93,8.94,6.99,33.2,61.5,2
6.05,3.76,9.08,6.47,33.2,61.8,2
6.08,3.78,9.75,6.71,33.2,58.7,2
6.08,3.74,9.34,6.28,33.3,60.2,2
6.05,3.76,9.56,6.74,33.3,61.5,2
6.05,3.38,9.3,6.82,33.3,61.5,2
6.21,3.24,9.86,6.74,33.3,61.8,2
6.23,3.02,9.37,6.52,33.3,59.2,2
6.23,3.68,9.48,6.31,33.4,59.9,2
6.21,3.57,9.19,6.36,33.4,60,2
6.21,3.59,9.86,6.65,33.4,59.8,2
6.23,2.8,8.01,6.36,33.4,60.4,2
6.18,3.76,9.45,6.68,33.4,60.3,2
6.18,3.61,9.9,6.23,33.4,61.1,2
